description,category,amount
AUTOPAY MINI MARKET TXN FRESH FOOD,groceries,-84.0
recurring starbucks,cafe_restaurant,-21.59
BROADBAND BILL (TALKTALK) BROADBAND BILL,bills_utilities,-245.59
easyjet visit,transport,-22.6
peacock | fee | ix491nod,entertainment,-103.99
ikea  direct debit,shopping,-275.92
sixt auto-renewal,transport,-41.89
Doctor Visit Outing,health,-47.89
IN-APP PURCHASE AT HBO MAX,entertainment,-132.78
Thai Restaurant*Cy3V7O Dine In,cafe_restaurant,-19.84
Planet Fitness Mastercard Madrid,health,-48.04
corner shop iban/london eggs,groceries,-76.21
CONTACTLESS DEUTSCHE BAHN TRIP,transport,-43.13
CAFE VISIT ESPRESSO,cafe_restaurant,-40.65
Electricity Outing Subscription Renewal,bills_utilities,-88.39
MIGROS WITH FRIENDS,groceries,-34.95
DOMINO'S*N5I29S2D SANDWICH,cafe_restaurant,-36.14
NUFFIELD HEALTH - PRESCRIPTION DOCTOR VISIT,health,-155.0
Megabus Ticket Ride,transport,-54.63
Rossmann Stripe Ref Jyiswtv Physio,health,-108.35
CONTACTLESS SNCF,transport,-65.94
Membership Outing Membership,entertainment,-73.4
LA FITNESS,health,-8.62
order twitch bowling,entertainment,-24.12
BROADBAND ECOM/US GAS,bills_utilities,-1053.65
Direct Debit Department Store Kitchenware,shopping,-122.82
purchase performance bonus cashback credited,income,4805.32
Bowling Outing,entertainment,-122.76
NEXT WEB REF UNV2O29,shopping,-178.01
standing order edeka bread,groceries,-23.83
kaufland inbound transfer groceries,groceries,-14.45
Government Payment Credit,income,4589.95
TIM HORTONS BILL,cafe_restaurant,-16.46
orlen received,transport,-68.36
amazon music series,entertainment,-26.93
CARD PAYMENT CORNER SHOP DE,groceries,-21.74
kebab shop cake snack,cafe_restaurant,-24.77
CAFE POS SUSHI,cafe_restaurant,-18.79
SO FOOD TRUCK LATTE,cafe_restaurant,-57.66
PURCHASE NEAR WORK,shopping,-325.1
POS PUREGYM MEDICATION PHYSIO,health,-63.34
Hulu Game Bowling,entertainment,-12.16
naturkost auto-renewal food shopping,groceries,-73.52
Trader Joe'S,groceries,-99.15
CONCERT VENUE ZUFRN7ON5 DUBLIN,entertainment,-20.85
CONTACTLESS PHONE BILL ANNUAL FEE DIRECT DEBIT,bills_utilities,-445.62
Food Truck - Cake Cake,cafe_restaurant,-42.63
LYFT STRIPE REF H1DX7L PETROL,transport,-7.48
ORDER TRADER JOE'S,groceries,-18.56
Card Payment Art Gallery Dublin Streaming,entertainment,-58.61
Iban Bakery Ramen Delivery Meal,cafe_restaurant,-54.4
PETROL DOWNTOWN DIESEL,transport,-40.63
Ferry Crossing At Train,transport,-32.13
ASOS DIRECT DEBIT,shopping,-276.64
CHARGING TRIP,transport,-43.73
CREDIT FIVE GUYS SANDWICH,cafe_restaurant,-64.71
planet fitness dental therapy,health,-5.43
ACCESSORIES FROM REI CLOTHES,shopping,-430.22
ORDER SNCF TRIP,transport,-12.46
sixt / travel card,transport,-22.56
vodafone received,bills_utilities,-498.18
VIRGIN MEDIA*4NTL40Q2DI ANNUAL FEE,bills_utilities,-279.41
card payment penny los angeles fruits,groceries,-126.08
CORNER SHOP INBOUND TRANSFER FRESH FOOD,groceries,-113.81
PHONE BILL TRANSFER ECOM,bills_utilities,-874.77
app coop  dairy,groceries,-20.22
Whole Foods Visit Groceries,groceries,-117.58
Dd O2,bills_utilities,-471.21
deutsche bahn,transport,-11.29
credit spar,groceries,-90.46
charging fare,transport,-36.59
workout from planet fitness prescription,health,-171.76
Direct Debit Street Food,cafe_restaurant,-34.99
o2 91e1wnx new york,bills_utilities,-1173.1
KEBAB FROM FOOD TRUCK DESSERT,cafe_restaurant,-12.0
dunkin delivery,cafe_restaurant,-13.07
Return Tesco,groceries,-57.45
so pizza express ramen,cafe_restaurant,-22.91
Shell Payment,transport,-63.43
DAVID LLOYD POS BERLIN FITNESS CLASS,health,-45.37
SUBWAY PAYMENT,cafe_restaurant,-45.64
ride,transport,-7.14
ALLIANZ CONTACTLESS REF Y1L44UXV MONTHLY BILL,bills_utilities,-1132.22
FREELANCE INCOME (FREELANCE PAYMENT) REFUND RECEIVED,income,4906.93
OUTLET STORE AUTO-RENEWAL,shopping,-399.92
zurich auto-renewal,bills_utilities,-753.05
chinese restaurant bill beer,cafe_restaurant,-27.41
Rental Income Txn/De Commission Paid,income,4808.55
series near work,entertainment,-45.61
COMEDY CLUB VISIT,entertainment,-45.85
return l'occitane,shopping,-293.71
Bonus Delivery,income,1100.92
TXN GREGGS RAMEN,cafe_restaurant,-53.73
T-MOBILE DIRECT DEBIT STANDING ORDER,bills_utilities,-1399.28
eggs credited supermarket run,groceries,-124.5
protein outing medicine,health,-198.11
DIRECT DEBIT CARREFOUR VEGETABLES,groceries,-10.2
cinepolis | charge | cazaoul,entertainment,-42.24
XBOX AUTOPAY,entertainment,-87.82
fiverr,income,4389.39
CONTACTLESS APPLE STORE LAPTOP,shopping,-254.02
HEALTH INSURANCE FROM DAVID LLOYD MEDICAL,health,-123.65
FURNITURE DOWNTOWN,shopping,-450.48
sixt visit,transport,-62.0
Card Payment Toll Gate Vienna Toll,transport,-64.09
home insurance visit insurance premium,bills_utilities,-615.24
Contactless Electronics Store Phone,shopping,-372.13
APPLE STORE WITH FRIENDS,shopping,-339.0
Purchase Aldi Vegetables,groceries,-77.67
Tidal Autopay Ref Hln8K4Tuhy Dlc,entertainment,-18.74
CONTACTLESS EASYJET,transport,-74.78
autopay avis order,transport,-48.8
Naturkost Direct Debit Fresh Food,groceries,-40.74
direct debit trampoline park membership,entertainment,-59.0
Homeware Downtown Shirt,shopping,-98.9
Apple Tv+ Direct Debit Bowling,entertainment,-84.12
SO EDF,bills_utilities,-737.06
shirt from amazon trousers,shopping,-494.86
Rent Received Phone Plan,bills_utilities,-331.53
Vodafone Visit,bills_utilities,-461.7
verizo brussels iban,bills_utilities,-288.4
TOMMY HILFIGER STRIPE SHOES,shopping,-465.96
NATURKOST STRIPE/LONDON,groceries,-53.14
laboratory | transfer | qot2knm physio,health,-176.44
autopay e.on invoice,bills_utilities,-179.6
Eurostar Iban/London Parking Fee,transport,-67.72
Purchase Sainsbury'S Grocery,groceries,-70.23
roblox / event ticket gig,entertainment,-31.32
BOOTS BEAUTY | CREDIT | DTWHJOU1Y KITCHENWARE,shopping,-128.56
RETURN CHIPOTLE DINE IN,cafe_restaurant,-31.07
DIVIDEND,income,2607.99
rewe dairy produce,groceries,-110.86
autopay starbucks order,cafe_restaurant,-20.89
card payment neste berlin ferry crossing,transport,-41.76
LANDLORD PAYMENT | INVOICE | ZDFDYSV,bills_utilities,-182.56
Engie/Debit/Chicago Phone Plan,bills_utilities,-1050.56
at&t direct debit,bills_utilities,-527.64
Blood Test*Exgt48Vaa,health,-153.3
Brasserie Auto-Renewal,cafe_restaurant,-16.17
FITNESS CLASS CHECKUP,health,-213.35
purchase car park pass,transport,-19.4
TICKET CREDITED,transport,-58.95
Bupa W52G9Lno Eu,health,-195.09
ELECTRONICS DOWNTOWN,shopping,-143.91
DRINKS,cafe_restaurant,-32.8
AUTOPAY ONLINE SHOP FEE ACCESSORIES,shopping,-446.17
GYM DOWNTOWN,health,-173.36
PIZZA  LONDON ONLINE CAPPUCCINO,cafe_restaurant,-30.71
SO ANGLIAN WATER,bills_utilities,-358.42
Return Orlen Parking Fee,transport,-14.29
food shopping (aldi) fruits,groceries,-129.36
commute credited,transport,-57.72
Direct Debit Thai Restaurant Drinks,cafe_restaurant,-36.16
apple store-warsaw-mastercard appliance,shopping,-364.11
LOCAL MARKET/ORDER/DUBLIN MILK,groceries,-69.73
AMAZON MUSIC ORDER VISA BOWLING,entertainment,-34.4
Megabu Lisbon Pos,transport,-46.92
Blood Test Visit Workout,health,-120.9
PURCHASE KAUFLAND FRESH FOOD,groceries,-111.96
order naturkost,groceries,-47.94
CHECKUP CREDITED WORKOUT,health,-101.97
recurring government payment,income,2463.28
Playstation Online Subscription,entertainment,-14.69
SALARY VISA/VIENNA,income,2676.84
festival-us-app,entertainment,-63.45
TALKTALK PAYMENT,bills_utilities,-1317.75
Recurring Investment Return,income,1499.24
trampoline park with friends film,entertainment,-49.92
BONUS RECEIVED CREDITED TRANSFER RECEIVED,income,3664.5
Ralph Lauren Bill Shirt,shopping,-470.81
RENT PAYMENT OUTING DIRECT DEBIT,bills_utilities,-1470.3
Opera House-Brussels-Direct Debit,entertainment,-39.02
broker payout project payment payout,income,2483.78
MINI MARKET STRIPE ORGANIC,groceries,-116.78
Autopay Grocery Store Charge,groceries,-39.86
card payment corner shop amsterdam supermarket run,groceries,-52.44
Direct Debit Primark Jacket,shopping,-398.05
RETURN PRET A MANGER,cafe_restaurant,-43.64
PARKING DELIVERY COMMUTE,transport,-59.15
ANNUAL FEE FROM DEUTSCHE TELEKOM,bills_utilities,-200.94
Rwe Sepa Ref Ycvsqih30,bills_utilities,-1482.1
Tidal Received Streaming,entertainment,-22.2
netflix payment,entertainment,-139.06
direct debit ramen shop drinks,cafe_restaurant,-30.81
RETURN FLIXBUS CHARGING,transport,-35.7
Breakfast Credited Snack,cafe_restaurant,-42.34
STANDING ORDER ENTERPRISE,transport,-56.93
M&S FOOD-VIENNA-CARD,groceries,-79.32
GOG VISIT,entertainment,-42.61
PENNY MONTHLY GROCERIES,groceries,-53.93
SO STRIPE PAYOUT,income,1413.6
Debit Enel Monthly Bill,bills_utilities,-794.33
THERAPY AUTO-RENEWAL CHECKUP,health,-97.19
CARD PAYMENT SPECIALIST DE,health,-131.45
recurring dentist physio,health,-111.15
Online Order Outing,shopping,-77.63
WAITROSE 2ZP4SQT DE DAIRY,groceries,-86.84
amazon prime video transfer txn gig,entertainment,-122.67
PURCHASE COUNCIL TAX SUBSCRIPTION RENEWAL,bills_utilities,-997.19
ORLEN | DEBIT | AP1EHQ,transport,-41.89
paramount+ payment,entertainment,-105.7
recurring bolt,transport,-16.89
WAGE CREDIT DOWNTOWN BONUS RECEIVED,income,4840.2
HABITAT RECURRING DELIVERY,shopping,-169.91
clothes at habitat headphones,shopping,-200.25
Caffe Nero Direct Debit,cafe_restaurant,-55.75
HOLLAND BARRETT INBOUND TRANSFER,health,-75.26
Standing Order Trenitalia Petrol,transport,-31.76
return tgi friday's pizza,cafe_restaurant,-59.22
PRIMARK*CHA BRUSSELS PURCHASE,shopping,-495.49
severn trent txn prague standing order,bills_utilities,-200.92
COMPANY PAYROLL 3ULPJ5CFRU VIENNA,income,1189.62
CLINIC INBOUND TRANSFER,health,-110.79
ORDER VIRGIN MEDIA ANNUAL FEE,bills_utilities,-585.87
Sixt Shuttle,transport,-3.42
RETURN NPOWER BROADBAND BILL,bills_utilities,-1153.12
INDIAN TAKEAWAY PIZZA,cafe_restaurant,-11.82
waitrose | txn | 5my2g45 fresh food,groceries,-12.55
recurring naturkost supermarket run,groceries,-111.8
mortgage monthly bill mortgage payment,bills_utilities,-441.78
MEGABUS | INVOICE | Z0SGYGSM PARKING FEE,transport,-22.05
holland barrett bill prescription,health,-88.16
visa national express fr fare,transport,-34.29
card payment taxi london,transport,-67.84
BP INBOUND TRANSFER,transport,-35.93
SCIENCE CENTER ONLINE,entertainment,-9.93
Bio Company Online,groceries,-122.76
TFL PAYMENT TRIP,transport,-55.48
dd puma purchase,shopping,-119.75
recurring cafe pizza,cafe_restaurant,-27.07
INVESTMENT RETURN*SIVGBYVXUJ,income,5955.46
Autopay Laser Tag Fee Streaming,entertainment,-119.71
So Water Bill,bills_utilities,-80.78
BURGER,cafe_restaurant,-44.0
Neste Parking Fee,transport,-47.9
Direct Debit Cigna Prescription,health,-12.92
SO DIM SUM BURGER,cafe_restaurant,-41.13
cvs*7un074,health,-25.0
standing order subway,cafe_restaurant,-30.32
billa fresh food,groceries,-103.44
AUTOPAY HOSPITAL CHARGE PRESCRIPTION,health,-163.4
toll gate txn/us shuttle,transport,-57.07
Marks Spencer Received Organic,groceries,-111.89
PAYMENT FROM TFL,transport,-58.43
Supermarket Web,groceries,-100.54
primark auto-renewal,shopping,-248.9
RAMEN (SUBWAY),cafe_restaurant,-11.42
gaming at cinema escape room,entertainment,-116.11
Netflix Payment,entertainment,-19.59
Payment From Diner Delivery Meal,cafe_restaurant,-50.56
Transfer Received Commission Paid,income,3232.21
RETURN CINEPOLIS EVENT TICKET,entertainment,-135.57
Enel Veth91 Warsaw Council Tax,bills_utilities,-1069.59
Lv Insurance/Subscription/Chicago Subscription Renewal,bills_utilities,-1473.35
ORDER CONTRACTOR FEE,income,3635.77
card payment uniqlo rome appliance,shopping,-94.03
fuel (enterprise),transport,-21.11
VISA VERIZON COUNCIL TAX MORTGAGE PAYMENT,bills_utilities,-472.91
APPLE STORE*INV DE,shopping,-377.61
John Lewis Invoice Ecom Furniture,shopping,-214.85
Tim Hortons - Cocktail Pizza,cafe_restaurant,-51.33
Trader Joe'S Txn Los Angeles,groceries,-89.49
CONTACTLESS BOWLING SERIES,entertainment,-51.62
CONTACTLESS YOUTUBE PREMIUM SERIES,entertainment,-121.98
Toll Gate Received,transport,-20.47
Credit Renfe Airport Transfer,transport,-16.13
REWE DELIVERY MILK,groceries,-19.63
CONTACTLESS PARAMOUNT+,entertainment,-135.12
wagamama hku551du9 us sushi,cafe_restaurant,-5.63
Vegetables Near Work,groceries,-95.54
Vatten Dublin Pos Direct Debit,bills_utilities,-1181.39
APPLE TV+ RECEIVED GAME,entertainment,-39.01
BOOTS BEAUTY ACCESSORIES,shopping,-460.27
organic credited organic,groceries,-33.45
UNIQLO BILL ONLINE ORDER,shopping,-437.17
DD CHINESE RESTAURANT BURGER,cafe_restaurant,-10.68
planet fitness credit/eu,health,-244.23
MEDIAMARKT*ORD NEW YORK,shopping,-153.8
Sepa Diner Dublin,cafe_restaurant,-45.36
ETSY VISIT,shopping,-479.59
Contactless Spa Protein,health,-11.96
CHILI'S | FEE | S8VTI9OGE,cafe_restaurant,-27.31
UTILITIES ONLINE GAS,bills_utilities,-1426.81
card migros groceries,groceries,-89.21
fnac/txn/amsterdam gadget,shopping,-154.52
zurich/purchase/los angeles,bills_utilities,-539.87
Wagamama Autopay Ref D6V2Hnq2,cafe_restaurant,-15.99
POS ORLEN FUEL,transport,-71.42
Series Downtown,entertainment,-9.19
Contactless Trampoline Park Show,entertainment,-86.65
Cake From Dunkin Sushi,cafe_restaurant,-57.64
Thai Restaurant*Fee Prague Cocktail,cafe_restaurant,-31.12
INVESTMENT RETURN MONTHLY,income,422.66
So Migros,groceries,-59.31
INVESTMENT RETURN BILL DIVIDEND PAYMENT,income,3048.42
Wizz Air Toll,transport,-54.67
la fitness delivery physio,health,-195.01
DELIVERY MEAL (PIZZERIA),cafe_restaurant,-51.77
INDIAN TAKEAWAY BILL,cafe_restaurant,-46.52
DIRECT DEBIT SUPERMARKET ORGANIC,groceries,-20.14
Standing Order Bt Standing Order,bills_utilities,-1220.45
return carrefour,groceries,-75.29
clothing downtown,shopping,-62.55
british gas stripe us,bills_utilities,-229.89
clothing store purchase stripe appliance,shopping,-308.32
APPLEBEE'S IBAN REF X99WGD9L,cafe_restaurant,-19.85
dd blood test fitness class,health,-133.63
CREDIT REWE,groceries,-36.72
Return Youtube Premium Escape Room,entertainment,-121.84
tram payment debit fuel,transport,-31.85
Popeyes / Cake Cake,cafe_restaurant,-15.25
street food received delivery meal,cafe_restaurant,-4.11
Card Payment Zara Berlin Laptop,shopping,-265.47
PURCHASE CINEWORLD DLC,entertainment,-89.52
festival pass credited concert ticket,entertainment,-121.74
Rwe - Broadband Bill Annual Fee,bills_utilities,-1376.39
ramen shop received espresso,cafe_restaurant,-5.11
coop txn,groceries,-100.69
ADMIRAL INBOUND TRANSFER,bills_utilities,-1013.08
STANDING ORDER TAXI,transport,-32.99
olive garden bill lunch,cafe_restaurant,-38.75
Grocery Store-Lisbon-Direct Debit,groceries,-33.78
Laptop Near Work,shopping,-299.05
Burger Joint Sepa Ref 0Z4Roxlp Snack,cafe_restaurant,-59.18
AUTOPAY PAYROLL SUBSCRIPTION WAGE CREDIT,income,1549.56
RECURRING RYANAIR TRIP,transport,-34.76
Milk From Local Market Dairy,groceries,-59.95
Pret A Manger Delivery Latte,cafe_restaurant,-44.26
SUBSCRIPTION AT CRUNCHYROLL,entertainment,-73.26
INVESTMENT RETURN - CASHBACK CREDITED,income,3127.94
Megabu  Credit,transport,-15.8
Standing Order Engie Rent Payment,bills_utilities,-1310.63
AXA HEALTH ONLINE VITAMINS,health,-228.81
FURNITURE FROM ZARA,shopping,-344.11
billa delivery,groceries,-25.75
edeka-vienna-autopay,groceries,-117.29
vegetables outing,groceries,-44.65
recurring naturkost food shopping,groceries,-86.17
so mcdonald's kebab,cafe_restaurant,-58.97
DIRECT DEBIT REVOLUT TRANSFER WAGE CREDIT,income,985.85
Playstation Web Ref 91D4Uy,entertainment,-90.49
Aviva Health-Brussels-Stripe Health Insurance,health,-15.85
AUTOPAY DEEZER PAYMENT,entertainment,-127.54
amc received,entertainment,-149.17
Currys | Txn | H1Ame6 Gadget,shopping,-91.18
Cineworld With Friends,entertainment,-93.23
Travel Card From Greyhound Petrol,transport,-34.49
o2 received electricity,bills_utilities,-882.74
pizzeria-lisbon-iban coffee,cafe_restaurant,-28.77
Bio Company Auto-Renewal Supermarket Run,groceries,-79.68
RETURN SAINSBURY'S MILK,groceries,-25.39
tesco visa/amsterdam,groceries,-72.08
Card Payment Investment Return De,income,1626.06
Pilates / Medicine,health,-211.24
Walgreens Visit,health,-31.55
card payment migros gb organic,groceries,-38.18
Douglas Auto-Renewal,shopping,-174.98
credit marks spencer bread,groceries,-119.75
order comedy club festival pass,entertainment,-113.82
VINTED RECEIVED,shopping,-390.78
Laptop Outing,shopping,-264.76
Food Shopping Credited,groceries,-10.65
bt*cde6391dt,bills_utilities,-64.23
SATURN RECEIVED,shopping,-242.06
ASDA - FRUITS,groceries,-97.09
electricity bill visit,bills_utilities,-1100.04
PUMA MONTHLY DELIVERY,shopping,-109.04
direct debit humble bundle concert ticket,entertainment,-122.52
APPLE MUSIC WITH FRIENDS,entertainment,-135.67
GREYHOUND - COMMUTE AIRPORT TRANSFER,transport,-20.39
Water Outing Water,bills_utilities,-315.11
DIRECT DEBIT COUNCIL TAX,bills_utilities,-817.4
MARKS SPENCER ONLINE,groceries,-41.47
esso purchase ecom,transport,-52.52
TOMMY HILFIGER*SUB PARIS,shopping,-110.21
Tfl Paypal Ref Ekc93Fgnp Parking Fee,transport,-65.15
Clinic Protein Workout,health,-68.22
CLINIC RECEIVED,health,-169.47
autopay enterprise charge shuttle,transport,-74.22
commission paid near work,income,888.66
ORDER NANDO'S,cafe_restaurant,-53.21
ride from train ride,transport,-25.88
iherb payment physio,health,-23.42
amazon*fee gb,shopping,-436.41
Return British Gas,bills_utilities,-341.8
Nando'S Inbound Transfer Beer,cafe_restaurant,-17.84
trousers downtown shoes,shopping,-145.57
PURCHASE SSE SUBSCRIPTION RENEWAL,bills_utilities,-390.36
AUTOPAY CHIPOTLE FEE TAKEAWAY,cafe_restaurant,-27.26
DINER VISIT BURGER,cafe_restaurant,-15.05
TGI FRIDAY'S AUTO-RENEWAL,cafe_restaurant,-6.16
Breakfast From Starbucks,cafe_restaurant,-11.54
Protein Downtown Health Insurance,health,-96.35
Marks Spencer / Eggs,groceries,-79.58
Tim Hortons-Prague-App Lunch,cafe_restaurant,-37.87
Broker Payout Stripe  Bonus Received,income,5890.02
Dinner Lunch,cafe_restaurant,-48.26
CVS BILL GYM,health,-91.5
dessert downtown drinks,cafe_restaurant,-46.13
CONTACTLESS RESTAURANT TAKEAWAY,cafe_restaurant,-24.97
Domino'S*Inv Berlin Lunch,cafe_restaurant,-27.32
itsu visit,cafe_restaurant,-36.79
CAR PARK MONTHLY TICKET,transport,-33.09
APPLE TV+ / MOVIE SHOW,entertainment,-49.45
NPOWER-NEW YORK-RECURRING ELECTRICITY,bills_utilities,-996.38
PURCHASE HULU,entertainment,-80.41
metro ew0b2ky new york,transport,-19.83
ramen downtown burger,cafe_restaurant,-57.93
PAYMENT FROM BISTRO,cafe_restaurant,-53.03
Shein*Tij1Mn,shopping,-420.4
ESSO/DEBIT/PARIS,transport,-5.73
contactless odeon gaming,entertainment,-18.19
cinema visit club entry,entertainment,-137.01
Recurring Ramen Shop Kebab,cafe_restaurant,-55.45
checkup from clinic,health,-101.85
Planet Fitness Direct Debit,health,-206.35
card payment company payroll chicago,income,3011.37
Meat From Coop Bulk Food,groceries,-61.28
PURCHASE RENTAL INCOME FREELANCE INCOME,income,4396.64
NUFFIELD HEALTH MASTERCARD/EU,health,-111.42
Bt Payment Council Tax,bills_utilities,-719.95
WEB AMC MEMBERSHIP,entertainment,-122.44
adidas web/stockholm,shopping,-237.96
Pizza Express - Drinks,cafe_restaurant,-37.52
espresso outing lunch,cafe_restaurant,-4.42
tram bill fare,transport,-37.2
BILLA-BRUSSELS-AUTOPAY FOOD SHOPPING,groceries,-89.68
Vinted With Friends,shopping,-398.0
AUTOPAY PIZZERIA FEE PASTA,cafe_restaurant,-53.75
Wizz Air Visit,transport,-8.55
ORLEN AUTO-RENEWAL,transport,-45.58
DD WALGREENS,health,-42.1
Card Payment Festival Gb Bowling,entertainment,-118.16
BROADBAND BILL NEAR WORK SUBSCRIPTION RENEWAL,bills_utilities,-986.52
Lidl With Friends Fresh Food,groceries,-13.57
puma online amsterdam gadget,shopping,-295.26
CARD PAYMENT PEACOCK FR,entertainment,-36.55
clinic delivery medical,health,-119.24
mac cosmetics stripe/stockholm,shopping,-182.9
card mubi series subscription,entertainment,-70.88
PAYMENT FROM APPLE TV+,entertainment,-135.78
whole foods with friends,groceries,-117.83
Company Payroll Freelance Income Wage Credit,income,3048.58
return electricity bill,bills_utilities,-715.44
Kaufland Delivery Organic,groceries,-11.35
Hulu Iban Lisbon,entertainment,-91.05
direct debit uber,transport,-20.74
THERAPY O3GQVO3M2C CHICAGO WORKOUT,health,-190.84
Organic Near Work Food Shopping,groceries,-62.54
supermarket inbound transfer produce,groceries,-37.38
contactless david lloyd prescription,health,-137.53
PENNY | PAYMENT | 07KVXI7,groceries,-86.08
ESSO SEPA/DUBLIN,transport,-36.4
pizza express cxblo9aw chicago,cafe_restaurant,-58.54
Peacock | Debit | 0X70Kf1X0W Escape Room,entertainment,-38.32
diesel at wizz air travel card,transport,-32.74
INTEREST CREDITED NEAR WORK FREELANCE INCOME,income,1592.47
Department Store Delivery Shoes,shopping,-256.39
purchase kaufland,groceries,-114.0
asos | subscription | nugcw1 furniture,shopping,-18.97
BLOOD TEST HEALTH INSURANCE,health,-222.23
OPTICIAN INBOUND TRANSFER FITNESS CLASS,health,-214.37
Recurring Airbnb Payout,income,969.55
MARKS SPENCER PAYMENT FOOD SHOPPING,groceries,-93.55
swisscom annual fee annual fee,bills_utilities,-593.68
nando's payment,cafe_restaurant,-10.74
SPAR FEE APP EGGS,groceries,-12.96
ROBLOX RECEIVED GAMING,entertainment,-111.72
Europcar Journey,transport,-50.07
contactless bupa checkup,health,-61.42
wine (leon) takeaway,cafe_restaurant,-34.88
AVIS MONTHLY SHUTTLE,transport,-78.68
festival monthly,entertainment,-15.39
Trip Downtown,transport,-16.66
CARD PAYMENT PHONE BILL DUBLIN,bills_utilities,-1416.11
recurring lloyds pharmacy medication,health,-107.77
GAME,entertainment,-50.68
myprotein prescription doctor visit,health,-234.44
Edeka | Txn | Rfphz26Y2,groceries,-97.84
Cvs Autopay/Vienna Medication,health,-245.73
sky with friends electricity,bills_utilities,-405.97
neste with friends journey,transport,-3.75
BEST BUY INBOUND TRANSFER,shopping,-345.61
zurich web ref 09i1tf,bills_utilities,-716.2
Gas Bill Payment,bills_utilities,-984.81
interest payment wage credit,income,4071.03
STANDING ORDER HABITAT JEWELLERY,shopping,-326.55
THERAP BRUSSELS DIRECT DEBIT CHECKUP,health,-12.34
scottish water 2mozrnc us monthly bill,bills_utilities,-503.87
museum bill dlc,entertainment,-134.68
Standing Order Cineworld,entertainment,-46.12
MUBI DLC,entertainment,-9.01
NETTO*EIV21H ORGANIC,groceries,-125.15
DISNEY+ AUTOPAY DE,entertainment,-66.96
movie at crunchyroll,entertainment,-41.09
Sushi Bar*1Kw574 Sandwich,cafe_restaurant,-46.79
Dd Laser Tag Escape Room,entertainment,-115.99
SO POPEYES,cafe_restaurant,-53.31
card payment anglian water lisbon,bills_utilities,-853.66
CHECKUP DOWNTOWN MASSAGE,health,-239.46
Restaurant Delivery Dessert,cafe_restaurant,-23.64
COUNCIL TAX ORDER ECOM COUNCIL TAX,bills_utilities,-101.93
Card Payment Mini Market Eu,groceries,-122.11
FIVE GUYS / RAMEN,cafe_restaurant,-57.44
Game Near Work Gaming,entertainment,-137.22
CONTACTLESS AVIS,transport,-35.87
Amazon,shopping,-188.19
Standing Order Lyft,transport,-69.78
ESCAPE ROOM FROM ART GALLERY GAMING,entertainment,-18.59
return bt,bills_utilities,-1048.4
Kfc - Delivery Meal Dinner,cafe_restaurant,-25.4
CAFFE NERO MONTHLY,cafe_restaurant,-62.13
DD FOOD MARKET FRESH FOOD,groceries,-71.46
FILM CREDITED MOVIE,entertainment,-41.61
ASDA INBOUND TRANSFER BREAD,groceries,-119.79
BOOTS BEAUTY-ROME-DIRECT DEBIT,shopping,-406.44
STANDING ORDER EDEKA DAIRY,groceries,-103.59
john lewis | debit | ykyd124mli,shopping,-337.4
SPECIALIST / PROTEIN,health,-123.15
BOLT POS,transport,-13.31
broadband bill downtown annual fee,bills_utilities,-156.61
BEER AT FIVE GUYS KEBAB,cafe_restaurant,-52.77
puma - trousers clothing,shopping,-136.38
DIESEL CREDITED DIESEL,transport,-32.56
SWISSCOM DIRECT DEBIT,bills_utilities,-1214.67
Standing Order Bupa Vitamins,health,-85.0
RYANAIR-PRAGUE-CARD,transport,-10.76
organic outing,groceries,-20.49
Paypal Bakery De,cafe_restaurant,-16.51
Standing Order Hbo Max Escape Room,entertainment,-36.02
credit rwe direct debit,bills_utilities,-427.01
FERRY CROSSING FROM EUROPCAR,transport,-21.26
ORDER MINI MARKET,groceries,-104.44
Disney+ Inbound Transfer Escape Room,entertainment,-38.32
purchase mortgage subscription renewal,bills_utilities,-88.83
Mediamarkt,shopping,-252.48
gnc app fr doctor visit,health,-89.94
BAKERY AUTO-RENEWAL,cafe_restaurant,-49.66
Direct Debit Credited,bills_utilities,-1384.02
Direct Debit Planet Fitness Dental,health,-7.37
APPLE TV+,entertainment,-54.32
Drinks Outing,cafe_restaurant,-14.87
KAUFLAND VEGETABLES,groceries,-64.93
Headphones (Ebay),shopping,-24.82
Uber Trip,transport,-60.64
SALARY RECEIVED AT MONTHLY PAY PROJECT PAYMENT,income,4703.56
BOOTS - CHECKUP PRESCRIPTION,health,-5.43
so ee rent payment,bills_utilities,-601.49
INVESTMENT RETURN | TXN | K8V8G7XCXK,income,3502.07
zara bill,shopping,-43.8
MONTHLY PAY*6XDKM5 PAYOUT,income,3686.61
Contactless Dim Sum,cafe_restaurant,-6.49
Neste Monthly Ride,transport,-63.55
HERTZ WAKX7BA85T LOS ANGELES,transport,-31.1
payment from aliexpress sneakers,shopping,-267.18
sainsbury's card ref tev9hhl,groceries,-27.21
credit wise transfer refund received,income,482.14
organic near work meat,groceries,-41.18
Roblox - Gig,entertainment,-80.18
Trader Joe'S Payment Txn Produce,groceries,-103.16
So Epic Games Event Ticket,entertainment,-16.31
CREDIT ESCAPE ROOM STREAMING,entertainment,-116.05
commute near work,transport,-53.01
art gallery bill series,entertainment,-40.77
PUMA BRUSSELS POS TROUSERS,shopping,-259.96
Amc Visit,entertainment,-136.64
SPA | PURCHASE | ZOSTIDF,health,-111.78
pizza downtown wine,cafe_restaurant,-18.05
PROTEIN NEAR WORK,health,-184.4
SHUTTLE FARE,transport,-79.86
